"ID";"RegioS";"Perioden";"WoningvoorraadBeginPeriode_1";"WoningvoorraadToevoegingTotaal_2";"WoningvoorraadToevoegingDoorNieuwbouw_3";"WoningvoorraadToevoegingAnderszins_4";"WoningvoorraadSaldoVermeerdering_14";"WoningvoorraadAdministratieveCorrectie_15";"WoningvoorraadEindePeriode_16"
"725";"PV23  ";"2004KW01";"438571";"824";"792";"32";"750";"0";"439321"
"726";"PV23  ";"2004KW02";"439321";"912";"900";"12";"838";"0";"440159"
"727";"PV23  ";"2004KW03";"440159";"596";"568";"28";"485";"0";"440644"
"728";"PV23  ";"2004KW04";"440644";"2826";"2385";"441";"2001";"-326";"442319"
"729";"PV23  ";"2004JJ00";"438571";"5158";"4645";"513";"4074";"-326";"442319"
"730";"PV23  ";"2005KW01";"442319";"1344";"1318";"26";"1220";"0";"443539"
"731";"PV23  ";"2005KW02";"443539";"828";"779";"49";"653";"0";"444192"
"732";"PV23  ";"2005KW03";"444192";"604";"478";"126";"519";"0";"444711"
"733";"PV23  ";"2005KW04";"444711";"2484";"2393";"91";"2329";"-534";"446506"
"734";"PV23  ";"2005JJ00";"442319";"5260";"4968";"292";"4721";"-534";"446506"
"735";"PV23  ";"2006KW01";"446506";"1180";"1008";"172";"534";"0";"447040"
"736";"PV23  ";"2006KW02";"447040";"940";"623";"317";"618";"0";"447658"
